541,830790083903
652,449745805532
716,652886509102
763,396392097059
837,409667913612
825,962507210149
830,085148967481
526,05260596076
200,33480110796
287,689893428602
92,7137800027105
386,42178091313
474
415,810099407806
494,237996244671
546,769296324249
573,937128673154
559,196444350364
451,742870132106
356,834188274052
401,736626764382
419,7808688749
217,385382837612
187,569098116703
395,438805548701
530,024085550038
614,304441941757
645,979590955243
602,132735882891
504,578115494359
426,37513700989
293,160144701085
363,615848820874
327,96470526716
547,062932395837
569,124410670588
616,631720632106
692,083332541936
715,159152523708
718,609338064765
715,288524854025
708,001501181339
600,016134367693
338,759691042637
303,686763057689
467,812281464524
481,329767095009
449,08198866428
644,585905933498
712,165945100539
549,567709727388
561,675700316758
334,243254338279
208,000000000001
314
887,852454007786
894,324610484076
859,822935508139
807,777903447915
508,222096552084
