1558,8307900839
1403,44974580553
1315,6528865091
1246,39639209706
1203,40966791361
1228,96250721015
1226,22650089004
1675,10229615418
2146,84350568401
2120,61306711254
2511,09085962674
2058,42178091313
1491
1185,81009940781
1084,23799624467
1004,76929632425
989,937128673153
1041,19644435036
1211,7428701321
1376,83418827405
1309,73662676438
1283,63128284809
1632,53496886442
1732,5690981167
1320,4388055487
1151,17081732987
1094,15771016193
1018,97959095524
967,13273588289
1138,61566417117
1279,70054339522
1552,94480853491
1476,74357791562
1603,68935727644
1214,69124887953
1238,4960941869
1143,63172063211
1050,08333254194
992,159152523707
931,609338064765
909,288524854026
935,175466403302
1123,59345309125
1478,35499634853
1574,65387641393
1446,49857885686
1394,60139754516
1494,81035821413
1226,5859059335
1141,16594510054
1400,70345866243
1329,42920168763
1629,56079177675
1895,21264437489
1823,61233563839
1369,16592118052
1702,97453983014
1963,17108727372
2237,27036045534
2844,35131589225
